code,name,unit,preunit
BQBG,Trade in Goods less oil & erratics (TlessOE): WW: Imports: BOP: CP: SA,m,£
BQBH,Trade in Goods: Crude oil (33O): WW: Imports: BOP: Tons: SA,NA,NA
BQDD,Trade in Goods: Precious stones (66P): WW: Imports: BOP: CVM: SA,NA,NA
BQFT,Trade in Goods: Silver (68S): WW: Imports: BOP: CVM: SA,NA,NA
BQGJ,Trade in Goods: Works of art (896): WW: Imports: BOP: CVM: SA,NA,NA
BQGK,Trade in Goods: Jewellery (897C): WW: Imports: BOP: CVM: SA,NA,NA
BQGL,Trade in Goods: Estonia: Total: Imports: BOP: CP: SA,NA,NA
BQGM,Trade in Goods: Estonia: Total: Balance: BOP: CP: SA,NA,NA
BQGN,Trade in Goods: Cyprus: Total: Exports: BOP: CP: SA,NA,NA
BQGO,Trade in Goods: Cyprus: Total: Imports: BOP: CP: SA,NA,NA
BQGP,Trade in Goods: Cyprus: Total: Balance: BOP: CP: SA,NA,NA
BQGQ,Trade in Goods: Latvia: Total: Exports: BOP: CP: SA,NA,NA
BQGR,Trade in Goods: Latvia: Total: Imports: BOP: CP: SA,NA,NA
BQGT,Trade in Goods: Latvia: Total: Balance: BOP: CP: SA,NA,NA
BQGU,Trade in Goods: Lithuania: Total: Exports: BOP: CP: SA,NA,NA
BQGV,Trade in Goods: Lithuania: Total: Imports: BOP: CP: SA,NA,NA
BQGX,Trade in Goods: Lithuania: Total: Balance: BOP: CP: SA,NA,NA
BQGY,Trade in Goods: Malta: Total: Exports: BOP: CP: SA,NA,NA
BQGZ,Trade in Goods: Malta: Total: Imports: BOP: CP: SA,NA,NA
BQHA,Trade in Goods: Malta: Total: Balance: BOP: CP: SA,NA,NA
BQHB,Trade in Goods: Slovakia: Total: Exports: BOP: CP: SA,NA,NA
BQHC,Trade in Goods: Slovakia: Total: Imports: BOP: CP: SA,NA,NA
BQHD,Trade in Goods: Slovakia: Total: Balance: BOP: CP: SA,NA,NA
BQHE,Trade in Goods: Slovenia: Total: Exports: BOP: CP: SA,NA,NA
BQHN,Trade in Goods: Slovenia: Total: Imports: BOP: CP: SA,NA,NA
BQHO,Trade in Goods: Slovenia: Total: Balance: BOP: CP: SA,NA,NA
BQHQ,Trade in Goods less MTIC (TlessMTIC): WW: Imports: BOP: CP: SA,m,£
BQHS,Trade in Goods less MTIC (TlessMTIC): WW: Imports: BOP: CVM: SA,m,£
BQKH,Trade in Goods less oil (TlessO): WW: Balance: BOP: CP: SA,m,£
BQKO,Trade in Goods (T): WW: Imports: BOP: CVM: SA,NA,NA
BQKQ,Trade in Goods (T): WW: Exports: BOP: CVM: SA,NA,NA
BQKW,Trade in Goods: Erratics (E): WW: Balance: BOP: CP: SA,m,£
BQKX,Trade in Goods: Unspecified goods (9): WW: Balance: BOP: CP: SA,m,£
BQMQ,Trade in Goods: Finished manufactures (7and8): WW: Exports: BOP: CP: NSA,NA,NA
BQMR,Trade in Goods: Semi-manufactures (5and6): WW: Imports: BOP: CP: NSA,NA,NA
BQMS,Trade in Goods: Dairy products & eggs (02): WW: Exports: BOP: CP: SA,NA,NA
