variable,value,dates.date,dates.freq
YBFA,18.9,1949-01-01,a
YBFC,28.7,1949-01-01,a
YBFF,14.1,1949-01-01,a
YBFG,7.7,1949-01-01,a
YBFH,16.9,1949-01-01,a
YBFI,6.6,1949-01-01,a
YBFJ,6.9,1949-01-01,a
YBFK,7.7,1949-01-01,a
YBFL,5.9,1949-01-01,a
YBFM,5.1,1949-01-01,a
YBFN,9.5,1949-01-01,a
YBFQ,21,1949-01-01,a
YBFT,1.7,1949-01-01,a
YBFU,4,1949-01-01,a
YBFV,3.2,1949-01-01,a
YBFW,5.5,1949-01-01,a
YBFY,3.5,1949-01-01,a
YBFZ,6.3,1949-01-01,a
YBGA,3.8,1949-01-01,a
YBGB,3.1,1949-01-01,a
YBGD,3.8,1949-01-01,a
YBGE,2.4,1949-01-01,a
YBHA,12172,1949-01-01,a
YBIK,383214,1949-01-01,a
YBIO,323294,1949-01-01,a
AAXJ,476,1950-01-01,a
ABKW,11512,1950-01-01,a
ABKX,359174,1950-01-01,a
ABME,432086,1950-01-01,a
ABMI,407268,1950-01-01,a
ABML,11582,1950-01-01,a
ABMM,357547,1950-01-01,a
ABMP,-210,1950-01-01,a
ABMQ,-6389,1950-01-01,a
ABMX,13099,1950-01-01,a
ABNF,2673,1950-01-01,a
ABNU,13763,1950-01-01,a
ABNV,42,1950-01-01,a
ABPB,9299,1950-01-01,a
ABPF,239639,1950-01-01,a
ABRE,10358,1950-01-01,a
BQNK,7.9,1950-01-01,a
BQNL,8.9,1950-01-01,a
CAER,1790,1950-01-01,a
CANI,0.3,1950-01-01,a
CGCE,17.9,1950-01-01,a
CRXA,3.9,1950-01-01,a
CRXB,3.8,1950-01-01,a
CSR8,27.9,1950-01-01,a
CSR9,17.4,1950-01-01,a
DG2V,228197,1950-01-01,a
DG2Z,16.3,1950-01-01,a
FHMA,3.5,1950-01-01,a
FJKP,0,1950-01-01,a
FKNW,2.6,1950-01-01,a
GCSR,0,1950-01-01,a
GIXS,3036,1950-01-01,a
HABM,236,1950-01-01,a
HABN,8855,1950-01-01,a
HABV,14,1950-01-01,a
HAEA,7668,1950-01-01,a
