variable,value,dates.date,dates.freq
KH53,17,1950-01-01,a
KH59,-3.8,1950-01-01,a
KH5L,9.1,1950-01-01,a
KH65,8.6,1950-01-01,a
KH68,4,1950-01-01,a
KH6E,3.1,1950-01-01,a
KH6N,4.1,1950-01-01,a
KH6T,5.4,1950-01-01,a
KH74,6,1950-01-01,a
KH7D,3,1950-01-01,a
NHCZ,84,1950-01-01,a
NMRP,2171,1950-01-01,a
NMRY,122375,1950-01-01,a
NPJQ,0,1950-01-01,a
NPJR,0,1950-01-01,a
NPQS,1389,1950-01-01,a
NPQT,33980,1950-01-01,a
NTAB,1900,1950-01-01,a
NTAO,52537,1950-01-01,a
NTAP,1160,1950-01-01,a
YBEU,0.6,1950-01-01,a
YBEX,0.6,1950-01-01,a
YBEZ,18.2,1950-01-01,a
YBFR,17.8,1950-01-01,a
YBFV,3.3,1950-01-01,a
YBGB,3.1,1950-01-01,a
YBHA,12742,1950-01-01,a
YBIL,12691,1950-01-01,a
YBIM,386192,1950-01-01,a
AAXW,470,1951-01-01,a
ABJQ,10053,1951-01-01,a
ABJR,236745,1951-01-01,a
ABMF,18596,1951-01-01,a
ABMG,451405,1951-01-01,a
ABMI,422401,1951-01-01,a
ABML,12960,1951-01-01,a
ABMM,369876,1951-01-01,a
ABMZ,14606,1951-01-01,a
BKTL,14305,1951-01-01,a
BOKG,2781,1951-01-01,a
BOKH,3471,1951-01-01,a
BOKI,-690,1951-01-01,a
BQKO,28369,1951-01-01,a
BQKQ,28663,1951-01-01,a
CAEQ,426,1951-01-01,a
CAER,2162,1951-01-01,a
CAEX,575,1951-01-01,a
CAFU,9104,1951-01-01,a
CAGQ,12887,1951-01-01,a
CAGR,367720,1951-01-01,a
CAGS,13094,1951-01-01,a
CGBV,3.5,1951-01-01,a
CGBX,1594,1951-01-01,a
CGBZ,2682,1951-01-01,a
CGCB,12818,1951-01-01,a
CGCE,18.5,1951-01-01,a
CMVL,1621,1951-01-01,a
CWNE,8,1951-01-01,a
CWNH,11.6,1951-01-01,a
DJDS,-207,1951-01-01,a
DMUM,0,1951-01-01,a
DMUN,0,1951-01-01,a
DMUQ,0,1951-01-01,a
DTWL,8030,1951-01-01,a
DTWM,8542,1951-01-01,a
DTWP,512,1951-01-01,a
GDPQ,3.5,1951-01-01,a
GIXM,73,1951-01-01,a
GIXQ,-134,1951-01-01,a
GIXS,2156,1951-01-01,a
HAYE,46,1951-01-01,a
HAYO,13594,1951-01-01,a
IHXW,0,1951-01-01,a
IHYA,0.6,1951-01-01,a
IHYB,0.7,1951-01-01,a
IHYC,18.4,1951-01-01,a
IHYD,18.7,1951-01-01,a
IHYM,12.3,1951-01-01,a
IHYP,3.7,1951-01-01,a
IHYS,8.2,1951-01-01,a
IKBB,940,1951-01-01,a
IKBC,893,1951-01-01,a
IKBD,47,1951-01-01,a
IKBE,28449,1951-01-01,a
IKBF,22330,1951-01-01,a
IKBH,3721,1951-01-01,a
IKBI,4364,1951-01-01,a
IKBJ,-643,1951-01-01,a
