code,name,unit,preunit
EUJA,PPI INDEX EXPORT EU - C2825 Non-domestic cooling and ventilation equipment 2015=100,NA,NA
EUJB,PPI INDEX EXPORT EU - C2829 Other general-purpose machinery n.e.c. 2015=100,NA,NA
EUJE,PPI INDEX EXPORT EU - C2841 Metal forming machinery 2015=100,NA,NA
EUJF,PPI INDEX EXPORT EU - C2849 Other machine tools 2015=100,NA,NA
EUKJ,PPI INDEX EXPORT EU - C2899 Other special-purpose machinery n.e.c. 2015=100,NA,NA
EUKL,PPI INDEX EXPORT EU - C2920 Bodies (coachwork) for motor vehicles; trailers and semi-trailers 2015=100,NA,NA
EUKM,PPI INDEX EXPORT EU - C2931 Electrical and electronic equipment for motor vehicles 2015=100,NA,NA
EUKT,PPI INDEX EXPORT EU - C3091 Motorcycles 2015=100,NA,NA
EUKW,PPI INDEX EXPORT EU - C3100 Seats and parts thereof 2015=100,NA,NA
EUKX,PPI INDEX EXPORT EU - C3101 Office and shop furniture 2015=100,NA,NA
EULA,PPI INDEX EXPORT EU - C3109 Other furniture 2015=100,NA,NA
EULE,PPI INDEX EXPORT EU - C3220 Musical instruments 2015=100,NA,NA
EULF,PPI INDEX EXPORT EU - C3230 Sports goods 2015=100,NA,NA
EULG,PPI INDEX EXPORT EU - C3240 Games and toys 2015=100,NA,NA
EULH,PPI INDEX EXPORT EU - C3250 Medical and dental instruments and supplies 2015=100,NA,NA
EULI,PPI INDEX EXPORT EU - C3291 Brooms and brushes 2015=100,NA,NA
EULJ,PPI INDEX EXPORT EU - C3299 Other manufactured goods n.e.c. 2015=100,NA,NA
EUVC,PPI INDEX EXPORT NEU - C1072 Rusks and biscuits; preserved pastry goods and cakes 2015=100,NA,NA
EUVF,"PPI INDEX EXPORT NEU - C1082 Cocoa, chocolate and sugar confectionery 2015=100",NA,NA
EUVH,PPI INDEX EXPORT NEU - C1084 Condiments and seasonings 2015=100,NA,NA
EUVK,PPI INDEX EXPORT NEU - C1089 Other food products n.e.c. 2015=100,NA,NA
EUVW,PPI INDEX EXPORT NEU - C1320 Woven textiles 2015=100,NA,NA
EUVZ,"PPI INDEX EXPORT NEU - C1392 Made-up textile articles, except apparel 2015=100",NA,NA
EUW6,"PPI INDEX EXPORT NEU - C1395 Non-wovens and articles made from non-wovens, except apparel 2015=100",NA,NA
EUWA,PPI INDEX EXPORT NEU - C1396 Other technical and industrial textiles 2015=100,NA,NA
EUWG,PPI INDEX EXPORT NEU - C1419 Other wearing apparel and accessories 2015=100,NA,NA
EUWU,PPI INDEX EXPORT NEU - C1712 Paper and paperboard 2015=100,NA,NA
EUWZ,PPI INDEX EXPORT NEU - C1729 Other articles of paper and paperboard 2015=100,NA,NA
EUXI,PPI INDEX EXPORT NEU - C2012 Dyes and pigments 2015=100,NA,NA
EUXM,PPI INDEX EXPORT NEU - C2016 Plastics in primary forms 2015=100,NA,NA
EUXP,"PPI INDEX EXPORT NEU - C2030 Paints, varnishes and similar coatings, printing ink and mastics 2015=100",NA,NA
EUXQ,"PPI INDEX EXPORT NEU - C2041 Soap and detergents, cleaning and polishing preparations 2015=100",NA,NA
EUXR,PPI INDEX EXPORT NEU - C2042 Perfumes and toilet preparations 2015=100,NA,NA
EUXT,PPI INDEX EXPORT NEU - C2052 Glues 2015=100,NA,NA
EUXU,PPI INDEX EXPORT NEU - C2053 Essential oils 2015=100,NA,NA
EUXV,PPI INDEX EXPORT NEU - C2059 Other chemical products n.e.c. 2015=100,NA,NA
EUXY,PPI INDEX EXPORT NEU - C2120 Pharmaceutical preparations 2015=100,NA,NA
EUYA,PPI INDEX EXPORT NEU - C2219 Other rubber products 2015=100,NA,NA
EUYB,"PPI INDEX EXPORT NEU - C2221 Plastic plates, sheets, tubes and profiles 2015=100",NA,NA
EUYC,PPI INDEX EXPORT NEU - C2222 Plastic packing goods 2015=100,NA,NA
EUYE,PPI INDEX EXPORT NEU - C2229 Other plastic products 2015=100,NA,NA
EUYK,PPI INDEX EXPORT NEU - C2320 Refractory products 2015=100,NA,NA
EUYN,PPI INDEX EXPORT NEU - C2341 Ceramic household and ornamental articles 2015=100,NA,NA
EUZB,PPI INDEX EXPORT NEU - C2391 Abrasive products 2015=100,NA,NA
EUZK,PPI INDEX EXPORT NEU - C2442 Aluminium 2015=100,NA,NA
EUZM,PPI INDEX EXPORT NEU - C2444 Copper 2015=100,NA,NA
EUZN,PPI INDEX EXPORT NEU - C2445 Other non-ferrous metal 2015=100,NA,NA
EUZT,PPI INDEX EXPORT NEU - C2511 Metal structures and parts of structures 2015=100,NA,NA
EUZU,PPI INDEX EXPORT NEU - C2512 Doors and windows of metal 2015=100,NA,NA
EUZW,"PPI INDEX EXPORT NEU - C2529 Other tanks, reservoirs and containers of metal 2015=100",NA,NA
EV5F,PPI INDEX EXPORT NEU - C2573 Tools 2015=100,NA,NA
EV5L,"PPI INDEX EXPORT NEU - C2593 Wire products, chain and springs 2015=100",NA,NA
EV5N,PPI INDEX EXPORT NEU - C2594 Fasteners and screw machine products 2015=100,NA,NA
EV5P,PPI INDEX EXPORT NEU - C2599 Other fabricated metal products n.e.c. 2015=100,NA,NA
EV5R,PPI INDEX EXPORT NEU - C2611 Electronic components 2015=100,NA,NA
EV5T,PPI INDEX EXPORT NEU - C2612 Loaded electronic boards 2015=100,NA,NA
EV5V,PPI INDEX EXPORT NEU - C2620 Computers and peripheral equipment 2015=100,NA,NA
