code,name,unit,preunit
IEBJ,"RSI:Textile,clothing&footwear:All Bus:VAL SA:Rolling 3m on same 3m a year ago %",%,NA
IEBK,RSI:Household goods stores:All Business:VAL SA:Month on prev month % change,%,NA
IEBL,RSI:Household goods stores:All Business:VAL SA:Rolling 3m on prev 3m %change,%,NA
IEBM,RSI:Household good stores:All Business:VAL SA:Rolling 3m on same 3m a year ago %,%,NA
IEBQ,RSI:Non-specialised stores:All Bus:VOL NSA:Rolling 3m on same 3m a year ago %,%,NA
IEDX,RSI:Pred food stores:All Business:VOL NSA:Rolling 3m on same 3m a year ago %,%,NA
IEEB,RSI:Pred non-food stores:All Business:VOL NSA:Rolling 3m on same 3m a year ago %,%,NA
IEEF,RSI:Other non-food:All Business:VOL NSA:Rolling 3m on same 3m a year ago %,%,NA
IEER,"RSI:Textile,clothing&footwear:All Bus:VOL NSA:Rolling 3m on same 3m a year ago %",%,NA
IEEV,RSI:Household goods:All Business:VOL NSA:Rolling 3m on same 3m a year ago %,%,NA
IEEW,RSI:Non-specialised:All Business:VOL SA:Month on prev month % change,%,NA
IEEX,RSI:Non-specialised stores:All Business:VOL SA:Rolling 3m on prev 3m % change,%,NA
IEEY,RSI:Non-specialised:All Business:VOL SA:Rolling 3m on same 3m a year ago %,%,NA
IEEZ,RSI:Pred food stores:All Business:VOL SA:Month on prev month % change,%,NA
IEFA,RSI:Pred food stores:All Business:VOL SA:Rolling 3m on prev 3m % change,%,NA
IEFB,RSI:Pred food stores:All Business:VOL SA:Rolling 3m on same 3m a year ago %,%,NA
IEFC,RSI:Pred non-food:All Business:VOL SA:Month on prev month % change,%,NA
IEFD,RSI:Pred non-food:All Business:VOL SA:Rolling 3m on prev 3m % change,%,NA
IEFE,RSI:Pred non-food:All Business:VOL SA:Rolling 3m on same 3m a year ago %,%,NA
IEFF,RSI:Other non-food stores:All Business:VOL SA:Month on prev month % change,%,NA
IEFG,RSI:Other non-food stores:All Business:VOL SA:Rolling 3m on prev 3m % change,%,NA
IEFH,RS:Other non-food stores:All Business:VOL SA:Rolling 3m on same 3m a year ago %,%,NA
IEFO,"RSI:Textile,clothing&footwear:All Bus:VOL SA:Month on prev month % change",%,NA
IEFP,"RS:Textile,clothing & footwear:All Business:VOL SA:Rolling 3m on prev 3m %change",%,NA
IEFQ,"RSI:Textile,clothing&footwear:All Bus:VOL SA:Rolling 3m on same 3m a year ago %",%,NA
IEFR,RSI:Household good stores:All Business:VOL SA:Month on prev month % change,%,NA
IEFS,RSI:Household goods stores:All Business:VOL SA:Rolling 3m on prev 3m % change,%,NA
IEFT,RSI:Household good stores:All Business:VOL SA:Rolling 3m on same 3m a year ago %,%,NA
IYP9,RSI:Automotive fuel:All Business:VAL NSA:% change on same month a year ago,%,NA
IZ5T,RSI:Year to date index:Automotive fuel:All Business,NA,NA
IZJ7,RSI:Retail of electrical household appliances (val nsa):All Business %,%,NA
